formula_perception_1  | x:nan,	y:nan
formula_perception_1  | obj_id = 2,  x = 285, y = 192, w = 51 x_3d = -0.039 y_3d = 0.205 z_3d = 1.73, prob = 0.226
formula_perception_1  | x:-0.244452,	y:0.020125
formula_perception_1  | obj_id = 2,  x = 285, y = 193, w = 51 x_3d = -0.039 y_3d = 0.209 z_3d = 1.73, prob = 0.224
formula_perception_1  | x:-0.243386,	y:0.024969
formula_perception_1  | obj_id = 2,  x = 285, y = 192, w = 51 x_3d = -0.039 y_3d = 0.205 z_3d = 1.73, prob = 0.217
formula_perception_1  | x:-0.244448,	y:0.0201247
formula_perception_1  | obj_id = 2,  x = 285, y = 192, w = 51 x_3d = -0.039 y_3d = 0.205 z_3d = 1.74, prob = 0.207
formula_perception_1  | x:-0.244738,	y:0.0201486
formula_perception_1  | obj_id = 2,  x = 285, y = 193, w = 51 x_3d = -0.039 y_3d = 0.205 z_3d = 1.73, prob = 0.205
formula_perception_1  | x:-0.244602,	y:0.0250936
formula_perception_1  | obj_id = 2,  x = 286, y = 192, w = 51 x_3d = -0.0341 y_3d = 0.202 z_3d = 1.73, prob = 0.23
formula_perception_1  | x:-0.238793,	y:0.0200657
